"Time","slipstream_internal/slipstream_hq/1100/Cooling Capacity Status"
2021-08-10 09:37:01,100
2021-08-10 09:38:01,100
2021-08-10 09:39:01,100
2021-08-10 09:40:01,100
2021-08-10 09:41:01,100
2021-08-10 09:42:01,100
2021-08-10 09:43:01,100
2021-08-10 09:44:01,100
2021-08-10 09:45:01,100
2021-08-10 09:46:01,100
2021-08-10 09:47:01,100
2021-08-10 09:48:01,100
2021-08-10 09:49:01,100
2021-08-10 09:50:01,100
2021-08-10 09:51:01,100
2021-08-10 09:52:01,100
2021-08-10 09:53:02,100
2021-08-10 09:54:01,100
2021-08-10 09:55:01,100
2021-08-10 09:56:01,100
2021-08-10 09:57:01,100
2021-08-10 09:58:01,100
2021-08-10 09:59:01,100
2021-08-10 10:00:01,100
2021-08-10 10:01:01,100
2021-08-10 10:02:01,100
2021-08-10 10:03:01,100
2021-08-10 10:04:01,100
2021-08-10 10:05:01,100
2021-08-10 10:06:01,100
2021-08-10 10:07:01,100
2021-08-10 10:08:01,100
2021-08-10 10:09:01,100
2021-08-10 10:10:01,100
2021-08-10 10:11:01,100
2021-08-10 10:12:01,100
2021-08-10 10:13:01,100
2021-08-10 10:14:01,100
2021-08-10 10:15:01,100
2021-08-10 10:16:01,100
2021-08-10 10:17:01,100
2021-08-10 10:18:01,100
2021-08-10 10:19:01,100
2021-08-10 10:20:01,100
2021-08-10 10:21:01,100
2021-08-10 10:22:01,100
2021-08-10 10:23:01,100
2021-08-10 10:24:01,100
2021-08-10 10:25:01,100
2021-08-10 10:26:01,100
2021-08-10 10:27:01,100
2021-08-10 10:28:01,100
2021-08-10 10:29:01,100
2021-08-10 10:30:01,100
2021-08-10 10:31:01,100
2021-08-10 10:32:01,100
2021-08-10 10:33:01,100
2021-08-10 10:34:01,100
2021-08-10 10:35:01,100
2021-08-10 10:36:01,100
2021-08-10 10:37:01,100
2021-08-10 10:38:01,100
2021-08-10 10:39:01,100
2021-08-10 10:40:01,100
2021-08-10 10:41:01,100
2021-08-10 10:42:01,100
2021-08-10 10:43:01,100
2021-08-10 10:44:01,100
2021-08-10 10:45:01,100
2021-08-10 10:46:01,100
2021-08-10 10:47:01,100
2021-08-10 10:48:01,100
2021-08-10 10:49:01,100
2021-08-10 10:50:01,100
2021-08-10 10:51:01,100
2021-08-10 10:52:01,100
2021-08-10 10:53:01,100
2021-08-10 10:54:01,100
2021-08-10 10:55:01,100
2021-08-10 10:56:01,100
2021-08-10 10:57:01,100
2021-08-10 10:58:01,100
2021-08-10 10:59:01,100
2021-08-10 11:00:01,100
2021-08-10 11:01:01,100
2021-08-10 11:02:01,100
2021-08-10 11:03:01,100
2021-08-10 11:04:01,100
